[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 7.64
[File, File, Image] FileName - File Name: XMP.svg
[File, File, Image] Directory - Directory: t/images
[File, File, Image] FileSize - File Size: 1402 bytes
[File, File, Time] FileModifyDate - File Modification Date/Time: 2008:04:07 14:11:53-04:00
[File, File, Image] FileType - File Type: SVG
[File, File, Image] MIMEType - MIME Type: image/svg+xml
[SVG, SVG, Image] width - Image Width: 4in
[SVG, SVG, Image] height - Image Height: 3in
[SVG, SVG, Image] version - SVG Version: 1.1
[SVG, SVG-myfoo, Unknown] descTitle - Desc Title: This is a financial report
[SVG, SVG-myfoo, Unknown] descDescrEmph - Desc Descr Emph: myfoo
[SVG, SVG-myfoo, Unknown] descSceneWhat - Desc Scene What: widget $growth
[SVG, SVG-myfoo, Unknown] descSceneContains - Desc Scene Contains: $three $graph-bar
[SVG, SVG-myfoo, Unknown] descSceneWhen - Desc Scene When: 1998 $through 2000
[XMP, XMP-rdf, Document] about - About: http://example.org/myfoo
[XMP, XMP-dc, Image] title - Title: MyFoo Financial Report
[XMP, XMP-dc, Image] description - Description: $three $bar $thousands $dollars $from 1998 $through 2000
[XMP, XMP-dc, Author] publisher - Publisher: Example Organization
[XMP, XMP-dc, Time] date - Date: 2000:04:11
[XMP, XMP-dc, Image] format - Format: image/svg+xml
[XMP, XMP-dc, Other] language - Language: en
[XMP, XMP-dc, Author] creator - Creator: Irving Bird, Mary Lambert
[Composite, Composite, Image] ImageSize - Image Size: 4inx3in
