[ExifTool, ExifTool, ExifTool] ExifToolVersion - ExifTool Version Number: 7.64
[File, File, Image] FileName - File Name: ITC.itc
[File, File, Image] Directory - Directory: t/images
[File, File, Image] FileSize - File Size: 672 bytes
[File, File, Time] FileModifyDate - File Modification Date/Time: 2008:01:12 21:30:37-05:00
[File, File, Image] FileType - File Type: ITC
[File, File, Image] MIMEType - MIME Type: application/itunes
[ITC, ITC, Image] 16 - Data Type: Artwork
[ITC, ITC, Image] 0 - Library ID: 914A6DE01A279611
[ITC, ITC, Image] 2 - Track ID: 195770115E4BA2B6
[ITC, ITC, Image] 4 - Data Location: Local Music File
[ITC, ITC, Image] 5 - Image Type: PNG
[ITC, ITC, Image] 7 - Image Width: 8
[ITC, ITC, Image] 8 - Image Height: 8
[ITC, ITC, Other] data - Image Data: (Binary data 180 bytes)
[Composite, Composite, Image] ImageSize - Image Size: 8x8
